k,GMM,Kmeans
2,0.5193467336683417,0.6298994974874372
3,0.65678391959799,0.6364321608040201
4,0.707286432160804,0.742713567839196
5,0.75,0.75
6,0.9123115577889447,0.7462311557788944
7,0.9123115577889447,0.9123115577889447
8,0.9190954773869346,0.9133165829145728
9,0.8899497487437186,0.9175879396984925
10,0.9148241206030151,0.8560301507537689
15,0.9246231155778895,0.9133165829145728
20,0.9437185929648241,0.9163316582914572
25,0.9238693467336684,0.9690954773869347
30,0.9761306532663316,0.963819095477387
35,0.9731155778894472,0.9731155778894472
